date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:00:42	156/156	------	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Aug%202026%2005:57:04%20GMT	https://sandbox.paypal.com/mep/dashboard	/workspaces/Transferly/paypal_mirror/sandbox.paypal.com/mep/dashboard.0.delayed	(from )
06:00:42	156/156	------	302	error ('Found')	text/html	date:Sun,%2030%20Aug%202026%2005:57:05%20GMT	https://www.sandbox.paypal.com/mep/dashboard	/workspaces/Transferly/paypal_mirror/www.sandbox.paypal.com/mep/dashboard.1.delayed	(from )
06:00:42	122/122	------	302	error ('Found')	text/html	date:Sun,%2030%20Aug%202026%2005:57:06%20GMT	https://www.sandbox.paypal.com/mep/login	/workspaces/Transferly/paypal_mirror/www.sandbox.paypal.com/mep/login.2.delayed	(from )
06:00:42	869/869	------	200	untouched ('OK')	text/plain	date:Sun,%2030%20Aug%202026%2005:57:08%20GMT	https://www.sandbox.paypal.com/robots.txt		(from )
06:00:42	29352/29352	------	200	untouched ('OK')	text/html	etag:W/%226e9e-4a1bmVJtIlfTnsei1B0uFExy/7A%22	https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F	/workspaces/Transferly/paypal_mirror/www.sandbox.paypal.com/signin8f64.html	(from )
06:00:42	27372/27372	---M-Z	200	added ('OK')	application/javascript	etag:W/%226a68c7d4-6aec%22	https://www.paypalobjects.com/webcaptcha/ngrlCaptcha.min.js	/workspaces/Transferly/paypal_mirror/www.paypalobjects.com/webcaptcha/ngrlCaptcha.min.js	(from https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F)
06:00:43	5430/5430	---M-Z	200	added ('OK')	image/x-icon	etag:W/%225d5637bd-1536%22	https://www.paypalobjects.com/en_US/i/icon/pp_favicon_x.ico	/workspaces/Transferly/paypal_mirror/www.paypalobjects.com/en_US/i/icon/pp_favicon_x.ico	(from https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F)
06:00:44	1745/1745	---M--	200	added ('OK')	image/png	etag:%22BBNvPbdpaauRT+iiW9NBzqhT2loQNLSTf5XNX6l5j+0%22	https://www.paypalobjects.com/webstatic/icon/pp64.png	/workspaces/Transferly/paypal_mirror/www.paypalobjects.com/webstatic/icon/pp64.png	(from https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F)
06:00:46	248119/248119	---M-Z	200	added ('OK')	text/css	etag:W/%226a86438c-3c937%22	https://www.paypalobjects.com/web/res/4d0/e555934aad7274530d6806de4b918/css/contextualLoginElementalUIv2.css	/workspaces/Transferly/paypal_mirror/www.paypalobjects.com/web/res/4d0/e555934aad7274530d6806de4b918/css/contextualLoginElementalUIv2.css	(from https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F)
06:00:46	3807/3807	---M-Z	200	added ('OK')	application/javascript	etag:W/%226a864392-edf%22	https://www.paypalobjects.com/web/res/4d0/e555934aad7274530d6806de4b918/js/lib/modernizr-2.6.1.js	/workspaces/Transferly/paypal_mirror/www.paypalobjects.com/web/res/4d0/e555934aad7274530d6806de4b918/js/lib/modernizr-2.6.1.js	(from https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F)
06:00:47	758/758	------	403	error ('Forbidden')	text/html	date:Sun,%2030%20Aug%202026%2005:57:11%20GMT	https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F&country.x=US&locale.x=es_XC&langTgl=es	/workspaces/Transferly/paypal_mirror/www.sandbox.paypal.com/signin.c74c4.delayed	(from https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F)
06:00:47	98119/98119	------	200	untouched ('OK')	text/html	etag:W/%2217f47-T5Xznd9O/+nOhj2TDPGokB2ff0I%22	https://www.sandbox.paypal.com/authflow/email-recovery/?contextId=&redirectUri=%252Fsignin%253FreturnUri%253Dhttps%25253A%25252F%25252Fwww.sandbox.paypal.com%25252Fmep%25252F	/workspaces/Transferly/paypal_mirror/www.sandbox.paypal.com/authflow/email-recovery/index8034.html	(from https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F)
06:00:47	91148/91148	------	200	untouched ('OK')	text/html	etag:W/%221640c-YDWMkCcQFFKElFeRgnsXhcCDECw%22	https://www.sandbox.paypal.com/authflow/password-recovery/?redirectUri=%252Fsignin%253FreturnUri%253Dhttps%25253A%25252F%25252Fwww.sandbox.paypal.com%25252Fmep%25252F&country.x=US&locale.x=en_US&pwrMayflyId=pwr%3Afba1e816b3a44d7a90b2a27b3f3ad3db	/workspaces/Transferly/paypal_mirror/www.sandbox.paypal.com/authflow/password-recovery/index8093.html	(from https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F)
06:00:47	165981/165981	------	200	untouched ('OK')	text/html	etag:W/%22132df-zZ4EppgQcmX/OyI2h9Sl6zC71Uc%22	https://www.sandbox.paypal.com/us/webapps/mpp/account-selection	/workspaces/Transferly/paypal_mirror/www.sandbox.paypal.com/us/webapps/mpp/account-selection.html	(from https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F)
06:00:47	29676/29676	------	200	untouched ('OK')	text/html	etag:W/%226fe2-Lg0ZuI04Pu4QFGCuuqwmxmSTq3g%22	https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F&country.x=US&locale.x=en_US&langTgl=en	/workspaces/Transferly/paypal_mirror/www.sandbox.paypal.com/signin569e.html	(from https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F)
06:00:47	1238/1238	---M--	200	added ('OK')	image/png	etag:%22juRbjo28Q9q7Ca+T2l9coQ3XNXGGGPrTLd30UBTHy+M%22	https://www.paypalobjects.com/images/shared/icon-PN-check.png	/workspaces/Transferly/paypal_mirror/www.paypalobjects.com/images/shared/icon-PN-check.png	(from https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F)
06:00:48	1709/1709	---M--	200	added ('OK')	image/png	etag:%2206e7g2A2uh9gOtrAR/AAX1pvXevadwBfhbhh/bNOQEI%22	https://www.paypalobjects.com/images/shared/glyph_alert_critical_big-2x.png	/workspaces/Transferly/paypal_mirror/www.paypalobjects.com/images/shared/glyph_alert_critical_big-2x.png	(from https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F)
06:00:49	30679/30679	------	200	untouched ('OK')	text/html	etag:W/%2273cd-EEAfLLvM2E7OYJora46+KBnDdw4%22	https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F&country.x=US&locale.x=fr_XC&langTgl=fr	/workspaces/Transferly/paypal_mirror/www.sandbox.paypal.com/signin1f88.html	(from https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F)
06:00:49	29712/29712	------	200	untouched ('OK')	text/html	etag:W/%227006-ofcmr5TJ1jWYHnWa8ZLErywx5nY%22	https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F&country.x=US&locale.x=zh_XC&langTgl=zh	/workspaces/Transferly/paypal_mirror/www.sandbox.paypal.com/signindec5.html	(from https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F)
06:00:49	94/94	------	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Aug%202026%2005:57:14%20GMT	https://www.sandbox.paypal.com/{coBrand}/cgi-bin/helpscr?cmd=_help	/workspaces/Transferly/paypal_mirror/www.sandbox.paypal.com/{coBrand}/cgi-bin/helpscr.10b621.delayed	(from https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F)
06:00:49	0/0	------	301	error ('Moved%20Permanently')	text/html	date:Sun,%2030%20Aug%202026%2005:57:34%20GMT	https://www.sandbox.paypal.com/us/smarthelp/contact-us	/workspaces/Transferly/paypal_mirror/www.sandbox.paypal.com/us/smarthelp/contact-us.12.delayed	(from https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F)
06:00:49	335390/335390	------	200	untouched ('OK')	text/html	etag:W/%222bovw4ib1276dy%22	https://www.sandbox.paypal.com/us/cshelp/personal	/workspaces/Transferly/paypal_mirror/www.sandbox.paypal.com/us/cshelp/personal.html	(from https://www.sandbox.paypal.com/signin?returnUri=https%3A%2F%2Fwww.sandbox.paypal.com%2Fmep%2F)
